anchor_log10,K_compute,kernel,N,sigma_pred,sigma_eff,sigma_eff_hard,ratio_obs_over_hard,median_abs_err,mean_abs_err,ks_D_eff,ks_p_eff
9,1000,cosine,20,101.43833626423948,96.88015898469779,84.77156502028421,1.142837919313112,61.720854587852955,75.8084613904357,0.190553654416316,0.4213099526376312
9,1000,hamming,20,101.43833626423948,99.21646522916082,84.77156502028421,1.17039794187379,77.63501951098442,79.33283878080547,0.18897614663852225,0.4318673179132214
9,1000,hann,20,101.43833626423948,101.21931423262248,84.77156502028421,1.1940243666423127,77.22590093314648,81.19732183441519,0.16404033855439648,0.6148408667934938
9,1000,hard,20,101.43833626423948,84.77156502028421,84.77156502028421,1.0,51.866695791482925,62.51677100844681,0.15406288573719587,0.6924061122435096
9,1000,riesz,20,101.43833626423948,96.10168652916312,84.77156502028421,1.1336547403149608,58.950121112167835,74.57339271195232,0.17835583877302563,0.5065483901649876
9,1000,riesz4,20,101.43833626423948,100.39355436957472,84.77156502028421,1.1842833660739005,77.40961791574955,80.10642778910696,0.19459259328028378,0.3949686102656876
9,1000,triangle,20,101.43833626423948,100.2169544008765,84.77156502028421,1.1822001207232224,67.80637010931969,79.71527446210385,0.12489111967274447,0.8936817198207104
9,1000,tukey25,20,101.43833626423948,92.6310455372352,84.77156502028421,1.0927136418334422,54.65853372216225,69.31816434748471,0.137509068971223,0.8150711247345527
9,1000,tukey50,20,101.43833626423948,98.47011657220041,84.77156502028421,1.1615937083223413,56.02995802462101,74.01991330236197,0.15700088245368804,0.6695997246664697
9,2000,cosine,20,78.92513540802928,78.22617813647527,63.87861931888703,1.2246065893497808,42.86134238541126,57.488848299905655,0.16815216018954737,0.5831152092767062
9,2000,hamming,20,78.92513540802928,82.95242770038533,63.87861931888703,1.2985945623884005,47.57984009385109,61.63674461767077,0.15832434892872282,0.65929917854049
9,2000,hann,20,78.92513540802928,85.16150336495211,63.87861931888703,1.3331769576893837,51.27417679131031,63.77151435911655,0.16977529231762023,0.5706989105023984
9,2000,hard,20,78.92513540802928,63.87861931888703,63.87861931888703,1.0,42.83161635696888,47.23548944406211,0.1803839328079469,0.4918364247720057
9,2000,riesz,20,78.92513540802928,76.85807513045621,63.87861931888703,1.2031893605397876,40.91716308891773,56.311074410006405,0.15149100784045677,0.7122446352665933
9,2000,riesz4,20,78.92513540802928,83.49181203894153,63.87861931888703,1.3070384571423486,49.66204237937927,61.90607303678989,0.15128734453487436,0.713808594086628
9,2000,triangle,20,78.92513540802928,83.39070419456716,63.87861931888703,1.305455645155295,48.954539597034454,62.991011910140514,0.14310080962055183,0.7753224810776302
9,2000,tukey25,20,78.92513540802928,67.66796378641044,63.87861931888703,1.0593210139468843,37.61989726126194,48.77942489795387,0.1841212923927782,0.4652602896088049
