log10_x_anchor,x,pi_x,K,abs_err
5.0,133506,12458,8000,0.734816
5.0,133506,12458,9000,0.617925
5.0,133506,12458,10000,0.721787
5.0,133506,12458,11000,0.652126
5.0,133506,12458,12000,0.461994
5.0,133506,12458,13000,0.545727
5.0,133506,12458,14000,0.653016
5.0,133506,12458,15000,0.670447
5.0,133506,12458,16000,0.673586
5.0,133506,12458,17000,0.506506
5.0,133506,12458,18000,0.443240
5.0,133506,12458,19000,0.375763
5.0,133506,12458,20000,0.358296
5.0,134902,12568,250,1.505316
5.0,134902,12568,500,0.114575
5.0,134902,12568,750,0.406779
5.0,134902,12568,1000,0.073143
5.0,134902,12568,1500,0.234388
5.0,134902,12568,2000,0.415238
5.0,134902,12568,2500,0.143932
5.0,134902,12568,3000,0.036217
5.0,134902,12568,3500,0.106338
5.0,134902,12568,4000,0.240296
5.0,134902,12568,4500,0.398036
5.0,134902,12568,5000,0.454644
5.0,134902,12568,6000,0.702615
5.0,134902,12568,7000,0.778777
5.0,134902,12568,8000,0.457174
5.0,134902,12568,9000,0.637738
5.0,134902,12568,10000,0.500367
5.0,134902,12568,11000,0.169780
5.0,134902,12568,12000,0.296780
5.0,134902,12568,13000,0.179366
5.0,134902,12568,14000,0.140747
5.0,134902,12568,15000,0.106009
5.0,134902,12568,16000,0.011641
5.0,134902,12568,17000,0.024109
5.0,134902,12568,18000,0.009286
5.0,134902,12568,19000,0.057656
5.0,134902,12568,20000,0.075918
5.0,138232,12860,250,1.092581
5.0,138232,12860,500,0.888448
5.0,138232,12860,750,0.081017
5.0,138232,12860,1000,0.152606
5.0,138232,12860,1500,0.048734
5.0,138232,12860,2000,0.642799
5.0,138232,12860,2500,0.576443
5.0,138232,12860,3000,0.527666
5.0,138232,12860,3500,0.674534
5.0,138232,12860,4000,0.920501
5.0,138232,12860,4500,0.878388
5.0,138232,12860,5000,0.744147
5.0,138232,12860,6000,0.809165
5.0,138232,12860,7000,0.993276
5.0,138232,12860,8000,0.990596
5.0,138232,12860,9000,0.893865
5.0,138232,12860,10000,0.905626
5.0,138232,12860,11000,0.863635
5.0,138232,12860,12000,0.600786
5.0,138232,12860,13000,0.778622
5.0,138232,12860,14000,0.588387
5.0,138232,12860,15000,0.387210
5.0,138232,12860,16000,0.349919
5.0,138232,12860,17000,0.456615
5.0,138232,12860,18000,0.357363
5.0,138232,12860,19000,0.324889
5.0,138232,12860,20000,0.162059
5.0,139446,12962,250,0.752576
5.0,139446,12962,500,1.761294
5.0,139446,12962,750,1.967674
5.0,139446,12962,1000,1.374207
5.0,139446,12962,1500,0.669556
5.0,139446,12962,2000,0.529535
5.0,139446,12962,2500,0.433742
5.0,139446,12962,3000,0.212688
5.0,139446,12962,3500,0.059021
5.0,139446,12962,4000,0.038404
5.0,139446,12962,4500,0.295364
5.0,139446,12962,5000,0.186397
5.0,139446,12962,6000,0.268092
5.0,139446,12962,7000,0.329039
5.0,139446,12962,8000,0.370392
5.0,139446,12962,9000,0.317971
5.0,139446,12962,10000,0.315316
5.0,139446,12962,11000,0.450056
5.0,139446,12962,12000,0.243706
5.0,139446,12962,13000,0.365355
5.0,139446,12962,14000,0.419968
5.0,139446,12962,15000,0.311354
5.0,139446,12962,16000,0.211227
5.0,139446,12962,17000,0.076224
5.0,139446,12962,18000,0.161441
5.0,139446,12962,19000,0.102851
5.0,139446,12962,20000,0.154335
5.0,140525,13052,250,0.987986
5.0,140525,13052,500,1.147338
5.0,140525,13052,750,1.521715
5.0,140525,13052,1000,1.209531
5.0,140525,13052,1500,0.767434
5.0,140525,13052,2000,0.991153
5.0,140525,13052,2500,0.814153
5.0,140525,13052,3000,0.952210
5.0,140525,13052,3500,1.039341
