log10_x_anchor,x,pi_x,K,abs_err
4.0,12308,1471,3750,0.159542
4.0,12308,1471,4000,0.186908
4.0,12308,1471,4250,0.168889
4.0,12308,1471,4500,0.127916
4.0,12308,1471,4750,0.063700
4.0,12308,1471,5000,0.068984
4.0,12308,1471,5250,0.104649
4.0,12308,1471,5500,0.157241
4.0,12308,1471,5750,0.195390
4.0,12308,1471,6000,0.213724
4.0,12308,1471,6250,0.155222
4.0,12308,1471,6500,0.111865
4.0,12308,1471,6750,0.083802
4.0,12308,1471,7000,0.085710
4.0,12308,1471,7250,0.107901
4.0,12308,1471,7500,0.029920
4.0,12308,1471,7750,0.030291
4.0,12308,1471,8000,0.009862
4.0,12484,1489,50,1.453286
4.0,12484,1489,100,0.575392
4.0,12484,1489,150,0.721337
4.0,12484,1489,200,0.713134
4.0,12484,1489,250,0.979144
4.0,12484,1489,300,0.884670
4.0,12484,1489,350,0.680301
4.0,12484,1489,400,0.355080
4.0,12484,1489,450,0.721041
4.0,12484,1489,500,0.525712
4.0,12484,1489,600,0.522831
4.0,12484,1489,700,0.328071
4.0,12484,1489,800,0.315117
4.0,12484,1489,900,0.486620
4.0,12484,1489,1000,0.335640
4.0,12484,1489,1250,0.213056
4.0,12484,1489,1500,0.150183
4.0,12484,1489,1750,0.023305
4.0,12484,1489,2000,0.298492
4.0,12484,1489,2250,0.182698
4.0,12484,1489,2500,0.163841
4.0,12484,1489,2750,0.125765
4.0,12484,1489,3000,0.194726
4.0,12484,1489,3250,0.262395
4.0,12484,1489,3500,0.316658
4.0,12484,1489,3750,0.262651
4.0,12484,1489,4000,0.186999
4.0,12484,1489,4250,0.182087
4.0,12484,1489,4500,0.105813
4.0,12484,1489,4750,0.141192
4.0,12484,1489,5000,0.191561
4.0,12484,1489,5250,0.144309
4.0,12484,1489,5500,0.132677
4.0,12484,1489,5750,0.070566
4.0,12484,1489,6000,0.001967
4.0,12484,1489,6250,0.028879
4.0,12484,1489,6500,0.100031
4.0,12484,1489,6750,0.110227
4.0,12484,1489,7000,0.084607
4.0,12484,1489,7250,0.085897
4.0,12484,1489,7500,0.058002
4.0,12484,1489,7750,0.049111
4.0,12484,1489,8000,0.087562
4.0,12540,1497,50,0.146658
4.0,12540,1497,100,0.128833
4.0,12540,1497,150,0.037559
4.0,12540,1497,200,0.191565
4.0,12540,1497,250,0.108540
4.0,12540,1497,300,0.088984
4.0,12540,1497,350,0.246939
4.0,12540,1497,400,0.544365
4.0,12540,1497,450,0.190748
4.0,12540,1497,500,0.366432
4.0,12540,1497,600,0.449305
4.0,12540,1497,700,0.380756
4.0,12540,1497,800,0.306419
4.0,12540,1497,900,0.449332
4.0,12540,1497,1000,0.325453
4.0,12540,1497,1250,0.314113
4.0,12540,1497,1500,0.275897
4.0,12540,1497,1750,0.390164
4.0,12540,1497,2000,0.129132
4.0,12540,1497,2250,0.058698
4.0,12540,1497,2500,0.077012
4.0,12540,1497,2750,0.012703
4.0,12540,1497,3000,0.026622
4.0,12540,1497,3250,0.078734
4.0,12540,1497,3500,0.042655
4.0,12540,1497,3750,0.014265
4.0,12540,1497,4000,0.059929
4.0,12540,1497,4250,0.038673
4.0,12540,1497,4500,0.016667
4.0,12540,1497,4750,0.004111
4.0,12540,1497,5000,0.016128
4.0,12540,1497,5250,0.052915
4.0,12540,1497,5500,0.084701
4.0,12540,1497,5750,0.087028
4.0,12540,1497,6000,0.020847
4.0,12540,1497,6250,0.023031
4.0,12540,1497,6500,0.067871
4.0,12540,1497,6750,0.042133
4.0,12540,1497,7000,0.071902
