log10_x_anchor,x,pi_x,K,abs_err
4.0,13445,1593,1,1.395430
4.0,13445,1593,2,0.404030
4.0,13445,1593,5,0.791698
4.0,13445,1593,10,1.642273
4.0,13445,1593,20,1.266915
4.0,13445,1593,50,0.151603
4.0,13445,1593,100,0.533762
4.0,13445,1593,200,0.755819
4.0,13445,1593,300,0.433215
4.0,13445,1593,500,0.269521
4.0,13445,1593,700,0.522969
4.0,13445,1593,1000,0.189920
4.0,13445,1593,1500,0.032007
4.0,13445,1593,2000,0.194400
4.0,13445,1593,3000,0.164819
4.0,13445,1593,4000,0.025303
4.0,13445,1593,5000,0.092020
4.0,13445,1593,6000,0.010378
4.0,13445,1593,7000,0.045313
4.0,13445,1593,8000,0.061405
4.0,13556,1604,1,0.624713
4.0,13556,1604,2,0.287160
4.0,13556,1604,5,1.068469
4.0,13556,1604,10,1.963359
4.0,13556,1604,20,1.791529
4.0,13556,1604,50,0.066983
4.0,13556,1604,100,0.479226
4.0,13556,1604,200,0.154150
4.0,13556,1604,300,0.263313
4.0,13556,1604,500,0.299262
4.0,13556,1604,700,0.396489
4.0,13556,1604,1000,0.067319
4.0,13556,1604,1500,0.316116
4.0,13556,1604,2000,0.212157
4.0,13556,1604,3000,0.314154
4.0,13556,1604,4000,0.197452
4.0,13556,1604,5000,0.181486
4.0,13556,1604,6000,0.076551
4.0,13556,1604,7000,0.046264
4.0,13556,1604,8000,0.058291
4.0,13867,1637,1,0.637092
4.0,13867,1637,2,0.089086
4.0,13867,1637,5,0.608129
4.0,13867,1637,10,0.154436
4.0,13867,1637,20,0.039274
4.0,13867,1637,50,1.516627
4.0,13867,1637,100,1.564422
4.0,13867,1637,200,1.365128
4.0,13867,1637,300,1.114221
4.0,13867,1637,500,0.714173
4.0,13867,1637,700,0.259783
4.0,13867,1637,1000,0.451424
4.0,13867,1637,1500,0.400680
4.0,13867,1637,2000,0.029299
4.0,13867,1637,3000,0.151405
4.0,13867,1637,4000,0.037045
4.0,13867,1637,5000,0.101271
4.0,13867,1637,6000,0.022849
4.0,13867,1637,7000,0.013158
4.0,13867,1637,8000,0.081816
4.0,13904,1643,1,2.713433
4.0,13904,1643,2,2.219520
4.0,13904,1643,5,2.886925
4.0,13904,1643,10,2.537945
4.0,13904,1643,20,2.423015
4.0,13904,1643,50,0.378870
4.0,13904,1643,100,0.483686
4.0,13904,1643,200,0.480787
4.0,13904,1643,300,0.223805
4.0,13904,1643,500,0.110660
4.0,13904,1643,700,0.157621
4.0,13904,1643,1000,0.009481
4.0,13904,1643,1500,0.219169
4.0,13904,1643,2000,0.402214
4.0,13904,1643,3000,0.554263
4.0,13904,1643,4000,0.482552
4.0,13904,1643,5000,0.374158
4.0,13904,1643,6000,0.289946
4.0,13904,1643,7000,0.361490
4.0,13904,1643,8000,0.366412
4.0,13980,1650,1,1.655719
4.0,13980,1650,2,1.277990
4.0,13980,1650,5,2.234342
4.0,13980,1650,10,2.125646
4.0,13980,1650,20,2.022248
4.0,13980,1650,50,0.569751
4.0,13980,1650,100,0.370703
4.0,13980,1650,200,0.624313
4.0,13980,1650,300,0.440541
4.0,13980,1650,500,0.186687
4.0,13980,1650,700,0.000865
4.0,13980,1650,1000,0.234897
4.0,13980,1650,1500,0.131767
4.0,13980,1650,2000,0.048974
4.0,13980,1650,3000,0.106694
4.0,13980,1650,4000,0.005085
4.0,13980,1650,5000,0.039283
4.0,13980,1650,6000,0.038488
4.0,13980,1650,7000,0.099304
4.0,13980,1650,8000,0.007744
4.0,14134,1663,1,1.661992
4.0,14134,1663,2,1.789323
4.0,14134,1663,5,0.337826
4.0,14134,1663,10,0.100917
4.0,14134,1663,20,0.021925
4.0,14134,1663,50,1.359704
4.0,14134,1663,100,1.295745
4.0,14134,1663,200,1.207116
4.0,14134,1663,300,1.329999
4.0,14134,1663,500,0.739372
4.0,14134,1663,700,0.706972
4.0,14134,1663,1000,0.139479
4.0,14134,1663,1500,0.033459
