anchor_log10,x,h,max_p_h,S_inf,pi_h,li2_x,sqrt_x,sigma_pred_pois,S_30,r_30,S_50,r_50,S_100,r_100,S_200,r_200,S_500,r_500,S_1000,r_1000,S_2000,r_2000,S_5000,r_5000,r_inf
7,13335214,3030,101,3.556427,202743,57101.604803,3651.741229,450.641438,3.520863,1696.071391,3.520863,1696.071391,3.520863,1696.071391,3.556427,-334.705666,3.556427,-334.705666,3.556427,-334.705666,3.556427,-334.705666,3.556427,-334.705666,-334.705666
7,13335214,4006,2003,1.320983,75216,57101.604803,3651.741229,274.645728,1.320324,-176.598228,1.320324,-176.598228,1.320324,-176.598228,1.320324,-176.598228,1.320324,-176.598228,1.320324,-176.598228,1.320324,-176.598228,1.320983,-214.275689,-214.275689
7,15399265,2,0,1.320324,85606,64701.985971,3924.189725,292.279936,1.320324,178.438905,1.320324,178.438905,1.320324,178.438905,1.320324,178.438905,1.320324,178.438905,1.320324,178.438905,1.320324,178.438905,1.320324,178.438905,178.438905
7,15399265,6,3,2.640647,170090,64701.985971,3924.189725,413.346250,2.640647,-765.122189,2.640647,-765.122189,2.640647,-765.122189,2.640647,-765.122189,2.640647,-765.122189,2.640647,-765.122189,2.640647,-765.122189,2.640647,-765.122189,-765.122189
7,15399265,14,7,1.584388,102466,64701.985971,3924.189725,320.176628,1.584388,-47.073314,1.584388,-47.073314,1.584388,-47.073314,1.584388,-47.073314,1.584388,-47.073314,1.584388,-47.073314,1.584388,-47.073314,1.584388,-47.073314,-47.073314
7,15399265,22,11,1.467026,94789,64701.985971,3924.189725,308.090104,1.467026,-130.512327,1.467026,-130.512327,1.467026,-130.512327,1.467026,-130.512327,1.467026,-130.512327,1.467026,-130.512327,1.467026,-130.512327,1.467026,-130.512327,-130.512327
7,15399265,30,5,3.520863,227444,64701.985971,3924.189725,477.291137,3.520863,-362.829586,3.520863,-362.829586,3.520863,-362.829586,3.520863,-362.829586,3.520863,-362.829586,3.520863,-362.829586,3.520863,-362.829586,3.520863,-362.829586,-362.829586
7,15399265,38,19,1.397990,90510,64701.985971,3924.189725,300.753573,1.397990,57.288253,1.397990,57.288253,1.397990,57.288253,1.397990,57.288253,1.397990,57.288253,1.397990,57.288253,1.397990,57.288253,1.397990,57.288253,57.288253
7,15399265,42,7,3.168777,204847,64701.985971,3924.189725,452.798130,3.168777,-179.146627,3.168777,-179.146627,3.168777,-179.146627,3.168777,-179.146627,3.168777,-179.146627,3.168777,-179.146627,3.168777,-179.146627,3.168777,-179.146627,-179.146627
7,15399265,46,23,1.383196,89258,64701.985971,3924.189725,299.158052,1.383196,-237.540194,1.383196,-237.540194,1.383196,-237.540194,1.383196,-237.540194,1.383196,-237.540194,1.383196,-237.540194,1.383196,-237.540194,1.383196,-237.540194,-237.540194
7,15399265,58,29,1.369225,88381,64701.985971,3924.189725,297.643318,1.369225,-210.544839,1.369225,-210.544839,1.369225,-210.544839,1.369225,-210.544839,1.369225,-210.544839,1.369225,-210.544839,1.369225,-210.544839,1.369225,-210.544839,-210.544839
7,15399265,62,31,1.365852,88268,64701.985971,3924.189725,297.276536,1.320324,2840.438905,1.365852,-105.339063,1.365852,-105.339063,1.365852,-105.339063,1.365852,-105.339063,1.365852,-105.339063,1.365852,-105.339063,1.365852,-105.339063,-105.339063
7,15399265,78,13,2.880706,186063,64701.985971,3924.189725,431.726078,2.880706,-324.406025,2.880706,-324.406025,2.880706,-324.406025,2.880706,-324.406025,2.880706,-324.406025,2.880706,-324.406025,2.880706,-324.406025,2.880706,-324.406025,-324.406025
7,15399265,82,41,1.354178,87486,64701.985971,3924.189725,296.003398,1.320324,2058.438905,1.354178,-132.011379,1.354178,-132.011379,1.354178,-132.011379,1.354178,-132.011379,1.354178,-132.011379,1.354178,-132.011379,1.354178,-132.011379,-132.011379
7,15399265,106,53,1.346212,87084,64701.985971,3924.189725,295.131515,1.320324,1656.438905,1.320324,1656.438905,1.346212,-18.611312,1.346212,-18.611312,1.346212,-18.611312,1.346212,-18.611312,1.346212,-18.611312,1.346212,-18.611312,-18.611312
