h,x,K,abs_err
0.0,151177.5070615663,200,0.6866087532580423
0.0,151177.5070615663,250,0.30262177390250145
0.0,151177.5070615663,300,0.1427031186667591
0.0,151177.5070615663,1526,0.1799041443700844
0.0,151177.5070615663,2000,0.3792029321921291
0.0,155706.84047537317,1,9.842058223934146
0.0,155706.84047537317,5,5.401686388400776
0.0,155706.84047537317,10,4.355183464695074
0.0,155706.84047537317,25,2.2113236356472044
0.0,155706.84047537317,50,2.1442442340667185
0.0,155706.84047537317,100,2.5872263409619336
0.0,155706.84047537317,133,2.789150428094217
0.0,155706.84047537317,150,2.7753501319675706
0.0,155706.84047537317,200,1.3149747434163146
0.0,155706.84047537317,250,1.2276696356984758
0.0,155706.84047537317,300,0.025739039236214012
0.0,155706.84047537317,1526,1.3486071652987448
0.0,155706.84047537317,2000,0.9111474390083458
0.0,160371.8743751331,1,1.463765891143339
0.0,160371.8743751331,5,0.5482783156166988
0.0,160371.8743751331,10,3.9101979590650444
0.0,160371.8743751331,25,1.3831577491164353
0.0,160371.8743751331,50,0.6079598282631196
0.0,160371.8743751331,100,0.34386471713696665
0.0,160371.8743751331,133,1.513591013785117
0.0,160371.8743751331,150,1.5407907499466091
0.0,160371.8743751331,200,1.5534378583452053
0.0,160371.8743751331,250,2.3525341642962303
0.0,160371.8743751331,300,2.048638161017152
0.0,160371.8743751331,1526,0.7030477292992146
0.0,160371.8743751331,2000,0.9524928117825766
0.0,165176.67439704583,1,3.3814508400519117
0.0,165176.67439704583,5,1.0559863050566491
0.0,165176.67439704583,10,1.9932977171047241
0.0,165176.67439704583,25,1.846392983368787
0.0,165176.67439704583,50,2.8077180229811347
0.0,165176.67439704583,100,2.2254063664240675
0.0,165176.67439704583,133,2.5185110247402918
0.0,165176.67439704583,150,2.491181257826611
0.0,165176.67439704583,200,2.289437333962269
0.0,165176.67439704583,250,3.627172337952288
0.0,165176.67439704583,300,2.5794369715167704
0.0,165176.67439704583,1526,0.35739397431825637
0.0,165176.67439704583,2000,0.21074983192011132
0.0,170125.42798525892,1,10.328205230089225
0.0,170125.42798525892,5,4.765865561999817
0.0,170125.42798525892,10,2.084955768274085
0.0,170125.42798525892,25,2.117375954898307
0.0,170125.42798525892,50,1.6759623340312828
0.0,170125.42798525892,100,0.4637043745333358
0.0,170125.42798525892,133,1.986882564098778
0.0,170125.42798525892,150,2.132892031519077
0.0,170125.42798525892,200,1.170922665109174
0.0,170125.42798525892,250,0.37142394184593286
0.0,170125.42798525892,300,1.405085987313214
0.0,170125.42798525892,1526,0.6968961706479604
0.0,170125.42798525892,2000,1.1951764348905272
0.0,175222.44804127837,1,11.006263982899327
0.0,175222.44804127837,5,5.71351589378537
0.0,175222.44804127837,10,3.2292191009637463
0.0,175222.44804127837,25,4.589965364937598
0.0,175222.44804127837,50,4.419984344705881
0.0,175222.44804127837,100,3.2008956587251305
0.0,175222.44804127837,133,3.564111768542716
0.0,175222.44804127837,150,3.9821411742505006
0.0,175222.44804127837,200,0.1661693364603707
0.0,175222.44804127837,250,0.982371993119159
0.0,175222.44804127837,300,0.8229631019221415
0.0,175222.44804127837,1526,1.5111819594967528
0.0,175222.44804127837,2000,1.2306702637415583
0.0,180472.17668271702,1,8.01597614009006
